slug	out	motif	ground	accent	eyebrow	title	thai	opts
openclaw-101	openclaw-101-cover.jpg	oc_os	cloud	violet	OPENCLAW · PART 1	OpenClaw 101	จาก Chatbot สู่ AI Operating System	
openclaw-agent-teams	openclaw-agent-teams-cover.jpg	oc_team	parchment	violet	OPENCLAW · PART 2	Agent Teams	สร้างทีม AI เฉพาะทางแบบบริษัทจริง	
openclaw-memory	openclaw-memory-cover.jpg	oc_memory	parchment	violet	OPENCLAW · PART 3	Memory	ให้ Agent จำได้และเรียนรู้	
openclaw-security	openclaw-security-cover.jpg	oc_security	cloud	violet	OPENCLAW · PART 4	Security	ปกป้องข้อมูลองค์กร	
openclaw-integrations	openclaw-integrations-cover.jpg	oc_integrations	parchment	violet	OPENCLAW · PART 5	Integrations	เชื่อมต่อทุกระบบในองค์กร	
openclaw-skills	openclaw-skills-cover.jpg	oc_skills	cloud	violet	OPENCLAW · PART 6	Skills	สอน Agent ทำงานใหม่ได้ไม่จำกัด	
openclaw-production	openclaw-production-cover.jpg	oc_production	parchment	violet	OPENCLAW · PART 7	Production	จาก Prototype สู่ระบบจริง	
openclaw-memory-architecture	openclaw-memory-architecture-cover.jpg	oc_memarch	cloud	violet	OPENCLAW	Memory Architecture	ออกแบบความจำให้ Agent ทำงานต่อเนื่อง	
openclaw-migration	openclaw-migration-cover.jpg	oc_migration	cloud	violet	OPENCLAW	Migration	ย้าย AI Agent ข้ามเครื่องแบบไม่พลาด	
idle-self-improvement	idle-self-improvement-cover.jpg	oc_idle	parchment	violet	OPENCLAW	Idle Self-Improvement	ให้ AI Agent ดูแลระบบเองเมื่อว่าง	
obsidian-ai-jarvis	obsidian-ai-jarvis-cover.jpg	oc_jarvis	cloud	violet	OPENCLAW	Obsidian + AI	สร้างสมองที่สองจากสิ่งที่สั่งสมมา	
beyond-plugins	beyond-plugins-cover.jpg	oc_beyond	parchment	violet	OPENCLAW	Beyond Plugins	สถาปัตยกรรมสำคัญกว่าปลั๊กอิน	
claude-code-architecture	claude-code-architecture-cover.jpg	oc_claude	cloud	violet	OPENCLAW	Claude Code	เจาะลึกสถาปัตยกรรม Claude Code	
git-branching	git-branching-cover.jpg	dv_git	deep	gray	DEVOPS · PART 1	Git Branching	แตกกิ่งก้านสาขาให้เป็นระบบ	
cicd-pipeline	cicd-cover.jpg	dv_cicd	navy	amber	DEVOPS · PART 2	CI/CD Pipeline	ส่ง Code ขึ้น Production แบบอัตโนมัติ	
docker-vs-vms	docker-vs-vms-cover.jpg	dv_dockervm	deep	cyan	DEVOPS · PART 3	Docker vs VMs	ต่างกันยังไง ใช้ตัวไหนดี	
api-request-lifecycle	api-lifecycle-cover.jpg	dv_api	navy	gray	DEVOPS · PART 4	API Lifecycle	เมื่อกด Send เกิดอะไรขึ้นบ้าง	
kubernetes-orchestration	kubernetes-cover.jpg	dv_k8s	deep	cyan	DEVOPS · PART 5	Kubernetes	จัดการ Container ให้เป็นระบบ	
networking-fundamentals	networking-cover.jpg	dv_net	navy	gray	DEVOPS · PART 6	Networking	รู้จักเครือข่ายก่อน Deploy	
infrastructure-as-code	iac-cover.jpg	dv_iac	deep	blue	DEVOPS · PART 7	Infrastructure as Code	จัดการ Server ด้วย Terraform	
monitoring-observability	monitoring-cover.jpg	dv_obs	navy	teal	DEVOPS · PART 8	Observability	รู้ทุกอย่างที่เกิดขึ้นในระบบ	
linux-command-line	linux-cli-cover.jpg	dv_linux	deep	gray	DEVOPS · PART 9	Linux CLI	คำสั่งพื้นฐานที่ DevOps ต้องรู้	
devops-security	security-cover.jpg	dv_secpipe	navy	red	DEVOPS · PART 10	DevSecOps	Security พื้นฐานที่ DevOps ต้องรู้	
software-testing	testing-cover.jpg	dv_pyramid	deep	green	DEVOPS · PART 11	Software Testing	ทดสอบยังไงให้มั่นใจก่อน Deploy	
docker-compose	docker-compose-cover.jpg	dv_compose	navy	cyan	DEVOPS · PART 12	Docker Compose	จัดการหลาย Containers ด้วยไฟล์เดียว	
gitops-argocd	gitops-cover.jpg	dv_gitops	deep	cyan	DEVOPS · PART 13	GitOps	ให้ Git เป็นแหล่งความจริงของการ Deploy	
cloud-architecture	cloud-architecture-cover.jpg	dv_cloud	navy	blue	DEVOPS · PART 14	Cloud Architecture	ออกแบบระบบบน Cloud ให้แข็งแกร่ง	
sre-fundamentals	sre-cover.jpg	dv_sre	deep	teal	DEVOPS · PART 15	SRE	วัดความน่าเชื่อถือของระบบด้วยตัวเลข	
github-actions	github-actions-cover.jpg	dv_gha	navy	amber	DEVOPS · PART 16	GitHub Actions	Automate ทุกอย่างใน CI/CD	
code-quality	code-quality-cover.jpg	dv_quality	deep	green	DEVOPS · PART 17	Code Quality	เขียน Code ดีๆ ที่ทีมอยากอ่าน	
automated-testing	automated-testing-cover.jpg	dv_autotest	navy	green	DEVOPS · PART 18	Automated Testing	ทดสอบอัตโนมัติทุก Push	
database-sql	database-sql-cover.jpg	dv_db	deep	gray	DEVOPS · PART 19	Database & SQL	ออกแบบฐานข้อมูลที่ดี	
authentication-authorization	auth-cover.jpg	dv_auth	navy	red	DEVOPS · PART 20	Auth	ยืนยันตัวตนและจัดการสิทธิ์	
web-architecture	web-architecture-cover.jpg	dv_webarch	deep	violet	DEVOPS · PART 21	Web Architecture	ออกแบบระบบให้ Scale ได้	
frontend-performance	frontend-performance-cover.jpg	dv_frontend	navy	violet	DEVOPS · PART 22	Frontend Performance	เพิ่มความเร็วและเลือก Framework ที่ใช่	
deployment-hosting	deployment-hosting-cover.jpg	dv_deploy	deep	blue	DEVOPS · PART 23	Deployment	จาก Code สู่ Production	
vibe-coding-devops-process	vibe-coding-devops-process-cover.jpg	dv_vibe	navy	gold	DEVOPS · PART 24	Vibe Coding	ใช้ AI ให้เร็วขึ้นแบบไม่พังระบบ	
morning-waking	morning-waking-cover.jpg	lp_waking	navy	gold	LIFE & PHILOSOPHY · I	Waking	สิ่งที่เราไม่ได้เลือก	
morning-working	morning-working-cover.jpg	lp_working	deep	gold	LIFE & PHILOSOPHY · II	Working	ชั่วโมงที่ต้องลงชื่อ	
morning-toward-noon	morning-toward-noon-cover.jpg	lp_noon	navy	gold	LIFE & PHILOSOPHY · III	Toward Noon	แล้วเราจะสร้างอะไรต่อ	
noon-first-fire	noon-first-fire-cover.jpg	lp_firstfire	deep	gold	LIFE & PHILOSOPHY · IV	First Fire	คำที่ต้องทำได้ และปัญหาที่คู่ควร	
noon-high-heat	noon-high-heat-cover.jpg	lp_highheat	navy	gold	LIFE & PHILOSOPHY · V	High Heat	ทางที่สาม และพายุที่ซ้อมไว้	
noon-long-light	noon-long-light-cover.jpg	lp_longlight	deep	gold	LIFE & PHILOSOPHY · VI	The Long Light	เสียง «เอ๊ะ» และแสงที่ส่งต่อ	
twilight-true-north	twilight-true-north-cover.jpg	lp_truenorth	navy	gold	LIFE & PHILOSOPHY · VII	True North	เข็มทิศ และคำว่า พอ	
twilight-open-hand	twilight-open-hand-cover.jpg	lp_openhand	deep	gold	LIFE & PHILOSOPHY · VIII	The Open Hand	ถือให้เบา ในวันที่ไม่มีอะไรเก็บได้	
twilight-before-dark	twilight-before-dark-cover.jpg	lp_beforedark	navy	gold	LIFE & PHILOSOPHY · IX	Before Dark	ลาอย่างงาม และแสงที่ยังสว่าง	
hermes-101	hermes-101-cover.jpg	hm_growth	cloud	teal	HERMES IN PRACTICE · I	Hermes 101	Agent ที่เติบโตไปกับเรา	
